Image Name,CPU Usage (%),Memory Usage (MiB),Runtime (seconds)
001-233.jpg,20.3,180.3,1.1522963047027588
002-35.jpg,12.2,182.5,1.077237844467163
005-14.jpg,16.2,179.2,1.122140884399414
037-59.jpg,10.1,187.9,1.0892078876495361
001-151.jpg,18.4,183.2,1.1285760402679443
006-105.jpg,8.1,184.3,1.0942130088806152
019-209.jpg,8.4,183.2,1.1121768951416016
001-122.jpg,19.9,184.5,1.093451976776123
075-167.jpg,17.3,181.2,1.0951898097991943
075-173.jpg,10.7,179.1,1.0894660949707031
002-52.jpg,9.2,183.1,1.0955431461334229
075-198.jpg,15.8,182.3,1.0844452381134033
002-156.jpg,5.9,180.0,1.0915451049804688
012-94.jpg,30.7,182.5,1.0844511985778809
012-95.jpg,34.1,180.2,1.3147060871124268
018-108.jpg,38.0,178.0,1.5320148468017578
005-66.jpg,26.0,186.3,1.093506097793579
002-157.jpg,23.0,190.2,1.0915911197662354
089-60.jpg,22.3,191.3,1.0823140144348145
002-53.jpg,23.5,195.7,1.087921142578125
002-90.jpg,26.8,199.7,1.0888030529022217
075-172.jpg,22.4,196.4,1.083174705505371
075-166.jpg,21.5,197.2,1.0796217918395996
001-123.jpg,21.5,200.5,1.0899431705474854
036-80.jpg,21.9,203.7,1.0896320343017578
003-6.jpg,56.4,198.2,1.0847017765045166
037-123.jpg,58.6,190.9,1.0961227416992188
028-213.jpg,64.3,180.2,1.0827279090881348
075-170.jpg,23.0,185.7,1.0765750408172607
002-86.jpg,22.7,187.8,1.084975004196167
075-164.jpg,76.3,193.0,1.0749256610870361
019-133.jpg,15.2,189.3,1.0757739543914795
002-196.jpg,19.0,194.2,1.1019136905670166
002-51.jpg,20.1,200.4,1.0881118774414062
002-155.jpg,38.8,206.9,1.0776143074035645
012-97.jpg,47.1,186.2,1.114483118057251
005-101.jpg,24.8,178.1,1.1911990642547607
013-192.jpg,31.1,181.6,1.083141803741455
012-96.jpg,34.4,182.0,1.1318769454956055
006-202.jpg,33.1,183.7,1.0736260414123535
002-50.jpg,25.5,180.4,1.1193461418151855
019-126.jpg,65.6,184.0,1.266510248184204
002-197.jpg,37.7,175.9,1.1121199131011963
019-132.jpg,50.1,182.1,1.0766079425811768
002-87.jpg,34.0,174.5,1.5104401111602783
075-165.jpg,35.5,175.9,1.1609420776367188
030-21.jpg,20.9,174.2,1.1395859718322754
075-171.jpg,32.0,173.0,1.131350040435791
001-108.jpg,46.0,172.1,1.2290019989013672
003-7.jpg,27.2,173.1,1.1715309619903564
003-14.jpg,33.4,185.9,1.076930046081543
001-124.jpg,35.3,180.5,1.1443140506744385
019-136.jpg,33.3,182.1,1.0744283199310303
075-175.jpg,32.7,178.5,1.1512842178344727
002-83.jpg,30.1,180.1,1.0735831260681152
002-68.jpg,37.2,178.7,1.100184679031372
002-178.jpg,36.6,179.9,1.072922945022583
005-49.jpg,34.2,179.2,1.1341707706451416
012-93.jpg,21.1,169.3,1.6254909038543701
005-48.jpg,16.1,185.9,1.090904712677002
002-69.jpg,5.2,190.1,1.082712173461914
002-82.jpg,5.8,195.7,1.08579683303833
075-174.jpg,5.8,198.9,1.0742981433868408
019-123.jpg,15.0,196.2,1.0797641277313232
019-137.jpg,6.5,194.4,1.0732591152191162
003-15.jpg,7.8,194.3,1.0724358558654785
019-135.jpg,3.9,198.3,1.0725951194763184
075-176.jpg,11.9,191.2,1.0776922702789307
075-189.jpg,28.9,182.4,1.116642951965332
012-91.jpg,28.9,177.4,1.1334490776062012
013-156.jpg,42.4,184.3,1.1761140823364258
075-188.jpg,54.6,172.2,1.1753320693969727
076-99.jpg,25.9,174.8,1.4179878234863281
075-177.jpg,17.3,172.8,1.1615071296691895
075-163.jpg,17.8,177.9,1.1084580421447754
019-134.jpg,10.2,177.0,1.0992271900177002
063-103.jpg,12.4,183.2,1.1047968864440918
075-185.jpg,11.5,188.5,1.110926866531372
002-67.jpg,9.5,190.0,1.1029877662658691
075-191.jpg,26.4,185.8,1.102414846420288
002-177.jpg,8.2,175.2,1.1104121208190918
018-100.jpg,10.3,179.2,1.0830121040344238
018-101.jpg,8.5,179.5,1.0780906677246094
005-136.jpg,7.5,181.9,1.071864128112793
002-162.jpg,11.8,181.4,1.0867228507995605
089-41.jpg,21.4,178.6,1.1020350456237793
075-190.jpg,17.8,186.4,1.1385211944580078
